Unnamed: 0,Free_text,Label_id
0,tuyệt_vời,0
1,mỹ tuột_dốc vực dậy,0
2,lái xe_hơi bấm còi lịch_sự văn_minh đường_xá kiên_nhẫn bấm còi nháy đèn đòi tiên đi đại,1
3,coi dịch giặc xăm nhập việt nam đầu_hàng cút xéo việt nam tự_hào,0
4,thương bé rời cha_mẹ chia buồn gia_đình cầu_mong vui thế_giới,0
5,sevila đoạt cúp loạt đá luân_lưu,0
6,angelina jolie đôi bàn_tay nổi gân_guốc,0
7,gã đánh bùm bùm,0
8,hình bộ_nhớ máy_tính chứa,0
9,không_trung yên_tĩnh,0
10,súng bóp cò đạn nổ trường_hợp côn_đồ bó_tay luônđề nghị án đi,0
11,giỏi tham_gia thành_lập câu lạc_bộ tiếng giáo_xứ nhà_chùa trường ngữ tham_gia hội thiện nguyện học ngoại_ngữ ước_mơ,0
12,học đại_học mỹ giáo_sư dặn lôi điện_thoại laptop ghi_chép suốt mấy điện_thoại chụp hình giảng ghi kịp thu âm học dĩ_nhiên máy_móc giảng học truyền_thống học_sinh máy_vi_tính môn thuyết_trình có_lí học_sinh điện_thoại chụp lén kiểm_soát,0
13,tui cực sợ rắn video tui cực mắc cười xd,0
14,phản_ánh giàu nghèo đứa trẻ bánh trung_thu chạnh_lòng,0
15,mesi trận,0
16,kẻ dở_hơi,1
17,không_thể_nào xót_xa bé bỏ_rơi căm_phẫn đi mong bé khỏe_mạnh công_tác bảo_vệ sống thai_nhi tuyệt_vời mong sức_khỏe,0
18,kia soluto tí_tẹo,0
19,may rắn độc cá diêm vương,0
20,công_an nhiệm_vụ vô_cùng tuyệt_vời dân nhiệm_vụ vô_cùng nguy_hiểm côn_đồ súng bắt bọn buôn ma_túy cảm_ởn,0
21,vụ scandal,0
22,có_lẽ miền nam màu_da sạm đồng_bào miền bắc món chút đường,0
23,đọc căm hờnmặt thú chẳng lương trisói lang chẳng chút bixuống tàn_bạo chi hung thầnvừa tồi ác bầnkịch khung xử chẳng nươngđau thắp nén hươngtiễn trốn thiên_đường xa_xăm,1
25,mong chính_quyền thành_phố dẹp giang_hồ,0
26,biden haris thắng,0
27,nhập két chai ngàn đéo chai lượt vận_chuyển bôc vác lưu kho bổ béo thanh_niên uống mấy chai,0
28,xinh_đẹp tài_giỏi trình_độ hiểu_biết rộng đi diễn_viên,0
29,vô_cùng biết_ơn yêu_mến việt_nam,0
30,bàn_tay nhanh_nhẹn chúc_mừng gia_đình,0
31,đầm cửa hà_kiều trông nhạt_nhẽo,1
32,đẹp,0
33,sĩ_quan thẳng_thắn mạnh_mẽ hy_vọng biden tân tổng_thống hoa kỳ,0
34,hở kêu_gọi chào sinh kinh_tế hợp_lí chống dịch sống kinh_tế sống kiểu,0
35,tuổi_thơ gắn liền hai tác_phẩm dế_mèn phiêu_lưu ký bẩy viên ngọc rồng tác_phẩm tết mèo già,0
36,quê_hương ninh bình thí_sinh chung_kết chúc cháu thành_công vinh_quang,0
37,mesi tự_do nguy_hiểm đối_thủ lo kèm mesi quên trái bóng chân mesi cầu_thủ chiếm trống bóng_đá hiện_đại chúc_mừng barca đi hướng chúc_mừng mesi trút áp_lực,0
38,chúc_mừng hy_vọng netflix mua bản_quyền phát_hành trực_tuyến toàn thế_giới phim ròm tụi thưởng_thức,0
39,london dân biểu_tình đòi tháo khẩu_trang,0
40,rời câu lạc_bộ mesi cầu_thủ thời_đại đội bóng sở_hữu mesi thành_công,0
41,học đại_học mấy vô_ý_thức con_người,1
42,quê_hương đất quảng tự_hào kiên_cường thời_kỳ sinh kiệt rạng_rỡ đất việt tác_giả,0
43,tham_gia_bảo_hiểm tham_gia phí tham_gia phí đóng nằm chỗ đóng bỉm bảo_hiểm chỗ,0
44,luật sức dăn đeđã luật giam vờ_vĩnh ốm_yếu_thế_là xong,1
45,ngoại_ngữ tiếng mẹ_đẻ,0
