Free_text,Label_id
tuyệt_vời,0
mỹ tuột_dốc vực dậy,0
lái xe_hơi bấm còi lịch_sự văn_minh đường_xá kiên_nhẫn bấm còi nháy đèn đòi tiên đi đại,1
coi dịch giặc xăm nhập việt nam đầu_hàng cút xéo việt nam tự_hào,0
thương bé rời cha_mẹ chia buồn gia_đình cầu_mong vui thế_giới,0
sevila đoạt cúp loạt đá luân_lưu,0
angelina jolie đôi bàn_tay nổi gân_guốc,0
gã đánh bùm bùm,0
hình bộ_nhớ máy_tính chứa,0
không_trung yên_tĩnh,0
súng bóp cò đạn nổ trường_hợp côn_đồ bó_tay luônđề nghị án đi,0
giỏi tham_gia thành_lập câu lạc_bộ tiếng giáo_xứ nhà_chùa trường ngữ tham_gia hội thiện nguyện học ngoại_ngữ ước_mơ,0
học đại_học mỹ giáo_sư dặn lôi điện_thoại laptop ghi_chép suốt mấy điện_thoại chụp hình giảng ghi kịp thu âm học dĩ_nhiên máy_móc giảng học truyền_thống học_sinh máy_vi_tính môn thuyết_trình có_lí học_sinh điện_thoại chụp lén kiểm_soát,0
tui cực sợ rắn video tui cực mắc cười xd,0
phản_ánh giàu nghèo đứa trẻ bánh trung_thu chạnh_lòng,0
mesi trận,0
kẻ dở_hơi,1
không_thể_nào xót_xa bé bỏ_rơi căm_phẫn đi mong bé khỏe_mạnh công_tác bảo_vệ sống thai_nhi tuyệt_vời mong sức_khỏe,0
kia soluto tí_tẹo,0
may rắn độc cá diêm vương,0
công_an nhiệm_vụ vô_cùng tuyệt_vời dân nhiệm_vụ vô_cùng nguy_hiểm côn_đồ súng bắt bọn buôn ma_túy cảm_ởn,0
vụ scandal,0
có_lẽ miền nam màu_da sạm đồng_bào miền bắc món chút đường,0
đọc căm_hờn mặt thú chẳng lương_tri sói lang chẳng chút từ_bi xuống tàn_bạo chi hung_thần tồi ác bần kịch khung xử chẳng nương đau thắp nến hương tiễn trốn thiên_đường xa_xăm,1
mong chính_quyền thành_phố dẹp giang_hồ,0
biden haris thắng,0
nhập két chai ngàn đéo chai lượt vận_chuyển bôc vác lưu kho bổ béo thanh_niên uống mấy chai,0
xinh_đẹp tài_giỏi trình_độ hiểu_biết rộng đi diễn_viên,0
vô_cùng biết_ơn yêu_mến việt_nam,0
bàn_tay nhanh_nhẹn chúc_mừng gia_đình,0
đầm cửa hà_kiều trông nhạt_nhẽo,1
đẹp,0
sĩ_quan thẳng_thắn mạnh_mẽ hy_vọng biden tân tổng_thống hoa kỳ,0
hở kêu_gọi chào sinh kinh_tế hợp_lí chống dịch sống kinh_tế sống kiểu,0
tuổi_thơ gắn liền hai tác_phẩm dế_mèn phiêu_lưu ký bẩy viên ngọc rồng tác_phẩm tết mèo già,0
quê_hương ninh bình thí_sinh chung_kết chúc cháu thành_công vinh_quang,0
mesi tự_do nguy_hiểm đối_thủ lo kèm mesi quên trái bóng chân mesi cầu_thủ chiếm trống bóng_đá hiện_đại chúc_mừng barca đi hướng chúc_mừng mesi trút áp_lực,0
chúc_mừng hy_vọng netflix mua bản_quyền phát_hành trực_tuyến toàn thế_giới phim ròm tụi thưởng_thức,0
london dân biểu_tình đòi tháo khẩu_trang,0
rời câu lạc_bộ mesi cầu_thủ thời_đại đội bóng sở_hữu mesi thành_công,0
học đại_học mấy vô_ý_thức con_người,1
quê_hương đất quảng tự_hào kiên_cường thời_kỳ sinh kiệt rạng_rỡ đất việt tác_giả,0
tham_gia_bảo_hiểm tham_gia phí tham_gia phí đóng nằm chỗ đóng bỉm bảo_hiểm chỗ,0
luật sức dăn đeđã luật giam vờ_vĩnh ốm_yếu_thế_là xong,1
ngoại_ngữ tiếng mẹ_đẻ,0
thắng vui đội bóng đội vùi_dập đối_thủ đẹp trời kiếm chúc_mừng goner con_người arsenal,0
cuộc_sống con_người ghét đứa to xác lười_biếng ăn_bám thân_xác cha_mẹ gầy_guộc,1
mấy kiểu việt_nam,0
thiếu_niên dễ_dãi kiến_thức phòng_tránh chủ_quan hệ_lụy,0
cuộc_sống_còn thiết_nghĩ bà_con sinh_đẻ lo miếng học_hành con_cái khổ đời đời,0
đơn_giản bé học lớp học kịp nổi chương_trình,0
tập hình_như học lớp tui sinh cảm_giác truyện thời đọc truyện chữ,0
chợ đông,0
